,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/
0,World,"2,632,532","+76,772","183,866","+6,407","716,877","1,731,789","56,678",338,23.6,,
1,USA,"846,294","+27,550","47,524 ","+2,206","83,917","714,853","14,014","2,557",144,"4,319,358","13,049"
2,Spain,"208,389","+4,211","21,717 ",+435,"85,915","100,757","7,705","4,457",464,"930,230","19,896"
3,Italy,"187,327","+3,370","25,085 ",+437,"54,543","107,699","2,384","3,098",415,"1,513,251","25,028"
4,France,"159,877","+1,827","21,340 ",+544,"40,657","97,880","5,218","2,449",327,"463,662","7,103"
5,Germany,"150,648","+2,195","5,279 ",+193,"99,400","45,969","2,908","1,798",63,"2,072,669","24,738"
6,UK,"133,495","+4,451","18,100 ",+763,N/A,"115,051","1,559","1,966",267,"559,935","8,248"
7,Turkey,"98,674","+3,083","2,376 ",+117,"16,477","79,821","1,814","1,170",28,"750,944","8,904"
8,Iran,"85,996","+1,194","5,391 ",+94,"63,113","17,492","3,311","1,024",64,"377,396","4,493"
9,Russia,"57,999","+5,236",513 ,+57,"4,420","53,066",700,397,4,"2,250,000","15,418"
10,Brazil,"45,757","+2,678","2,906 ",+165,"25,318","17,533","8,318",215,14,"291,922","1,373"
11,Belgium,"41,889",+933,"6,262 ",+264,"9,433","26,194","1,020","3,614",540,"171,400","14,789"
12,Canada,"40,119","+1,697","1,971 ",+137,"13,647","24,501",557,"1,063",52,"569,878","15,099"
13,Netherlands,"34,842",+708,"4,054 ",+138,N/A,"30,538","1,050","2,033",237,"171,415","10,004"
14,Switzerland,"28,268",+205,"1,509 ",+31,"19,900","6,859",386,"3,266",174,"227,554","26,293"
15,Portugal,"21,982",+603,785 ,+23,"1,143","20,054",207,"2,156",77,"284,741","27,925"
16,India,"21,370","+1,290",681 ,+36,"4,370","16,319",,15,0.5,"462,621",335
17,Peru,"19,250","+1,413",530 ,+46,"7,027","11,693",396,584,16,"170,400","5,168"
18,Ireland,"16,671",+631,769 ,+39,"9,233","6,669",147,"3,376",156,"111,584","22,598"
19,Sweden,"16,004",+682,"1,937 ",+172,550,"13,517",515,"1,585",192,"94,500","9,357"
20,Austria,"14,925",+52,510 ,+19,"11,328","3,087",176,"1,657",57,"201,794","22,406"
21,Israel,"14,498",+556,189 ,+5,"5,215","9,094",141,"1,675",22,"240,303","27,763"
22,Saudi Arabia,"12,772","+1,141",114 ,+5,"1,812","10,846",82,367,3,"200,000","5,745"
23,Japan,"11,512",,281 ,,"1,356","9,875",232,91,2,"124,550",985
24,Chile,"11,296",+464,160 ,+13,"5,386","5,750",399,591,8,"128,722","6,734"
25,Ecuador,"10,850",+452,537 ,+17,"1,262","9,051",141,615,30,"33,389","1,892"
26,S. Korea,"10,694",+11,238 ,+1,"8,277","2,179",55,209,5,"577,959","11,273"
27,Poland,"10,169",+313,426 ,+25,"1,513","8,230",160,269,11,"238,799","6,310"
28,Singapore,"10,141","+1,016",12 ,+1,896,"9,233",27,"1,733",2,"94,796","16,203"
29,Pakistan,"10,076",+511,212 ,+11,"2,156","7,708",58,46,1.0,"118,020",534
30,Romania,"9,710",+468,524 ,+26,"2,406","6,780",288,505,27,"106,357","5,529"
31,Mexico,"9,501",+729,857 ,+145,"2,627","6,017",378,74,7,"49,570",384
32,UAE,"8,238",+483,52 ,+6,"1,546","6,640",1,833,5,"790,000","79,875"
33,Denmark,"7,912",+217,384 ,+14,"5,087","2,441",80,"1,366",66,"108,465","18,726"
34,Indonesia,"7,418",+283,635 ,+19,913,"5,870",,27,2,"55,732",204
35,Belarus,"7,281",+558,58 ,+3,769,"6,454",92,771,6,"114,955","12,165"
36,Norway,"7,275",+34,187 ,+5,32,"7,056",54,"1,342",34,"148,656","27,421"
37,Qatar,"7,141",+608,10 ,+1,689,"6,442",37,"2,479",3,"70,012","24,301"
38,Czechia,"7,132",+99,208 ,+7,"1,989","4,935",80,666,19,"186,918","17,454"
39,Serbia,"7,114",+224,134 ,+4,"1,025","5,955",101,814,15,"48,636","5,566"
40,Philippines,"6,710",+111,446 ,+9,693,"5,571",1,61,4,"68,532",625
41,Australia,"6,649",+4,74 ,+3,"4,920","1,655",47,261,3,"452,441","17,743"
42,Ukraine,"6,592",+467,174 ,+13,424,"5,994",45,151,4,"67,520","1,544"
43,Malaysia,"5,532",+50,93 ,+1,"3,452","1,987",43,171,3,"113,755","3,515"
44,Dominican Republic,"5,300",+256,260 ,+15,581,"4,459",135,489,24,"18,261","1,683"
45,Panama,"4,821",+163,141 ,+5,231,"4,449",94,"1,117",33,"21,902","5,076"
46,Colombia,"4,356",+207,206 ,+10,870,"3,280",98,86,4,"71,500","1,405"
47,Finland,"4,129",+115,149 ,+8,"2,000","1,980",63,745,27,"68,552","12,372"
48,Bangladesh,"3,772",+390,120 ,+10,92,"3,560",1,23,0.7,"32,630",198
49,Egypt,"3,659",+169,276 ,+12,935,"2,448",,36,3,"55,000",537
50,Luxembourg,"3,654",+36,80 ,+2,711,"2,863",32,"5,837",128,"36,087","57,649"
51,South Africa,"3,635",+170,65 ,+7,"1,055","2,515",36,61,1,"133,774","2,256"
52,Morocco,"3,446",+237,149 ,+4,417,"2,880",1,93,4,"19,885",539
53,Argentina,"3,144",,152 ,+1,872,"2,120",123,70,3,"39,228",868
54,Algeria,"2,910",+99,402 ,+10,"1,204","1,304",40,66,9,"6,500",148
55,Thailand,"2,826",+15,49 ,+1,"2,352",425,61,40,0.7,"142,589","2,043"
56,Moldova,"2,778",+164,75 ,+3,560,"2,143",212,689,19,"11,763","2,916"
57,Greece,"2,408",+7,121 ,,577,"1,710",55,231,12,"56,944","5,463"
58,Kuwait,"2,248",+168,13 ,+2,443,"1,792",50,526,3,,
59,Hungary,"2,168",+70,225 ,+12,295,"1,648",82,224,23,"52,702","5,455"
60,Kazakhstan,"2,135",+140,19 ,,515,"1,601",32,114,1,"139,207","7,414"
61,Bahrain,"2,027",+54,7 ,,"1,026",994,2,"1,191",4,"97,796","57,474"
62,Croatia,"1,950",+42,48 ,,869,"1,033",19,475,12,"27,614","6,726"
63,Iceland,"1,785",+7,10 ,,"1,462",313,5,"5,231",29,"44,468","130,312"
64,Uzbekistan,"1,716",+38,7 ,+1,450,"1,259",8,51,0.2,"150,000","4,482"
65,Iraq,"1,631",+29,83 ,,"1,146",402,,41,2,"62,880","1,563"
66,Oman,"1,614",+106,8 ,,238,"1,368",3,316,2,,
67,Estonia,"1,559",+7,44 ,+1,184,"1,331",7,"1,175",33,"43,637","32,895"
68,Azerbaijan,"1,518",+38,20 ,,907,591,14,150,2,"108,221","10,674"
69,Armenia,"1,473",+72,24 ,,633,816,30,497,8,"14,966","5,051"
70,New Zealand,"1,451",+6,14 ,+1,"1,036",401,2,301,3,"94,797","19,658"
71,Lithuania,"1,370",+20,38 ,,357,975,17,503,14,"76,973","28,275"
72,Bosnia and Herzegovina,"1,368",+26,53 ,+2,460,855,4,417,16,"20,125","6,134"
73,Slovenia,"1,353",+9,79 ,+2,205,"1,069",24,651,38,"44,435","21,374"
74,North Macedonia,"1,259",+28,56 ,+1,272,931,8,604,27,"13,000","6,240"
75,Slovakia,"1,244",+45,14 ,,284,946,7,228,3,"52,649","9,643"
76,Cuba,"1,189",+52,40 ,+2,341,808,16,105,4,"30,416","2,685"
77,Afghanistan,"1,176",+84,40 ,+4,166,970,7,30,1,"6,422",165
78,Cameroon,"1,163",,43 ,,397,723,33,44,2,,
79,Ghana,"1,154",+112,9 ,,99,"1,046",4,37,0.3,"68,591","2,207"
80,Hong Kong,"1,034",+4,4 ,,678,352,8,138,0.5,"131,786","17,579"
81,Bulgaria,"1,024",+49,49 ,+4,174,801,37,147,7,"27,000","3,886"
82,Djibouti,974,+29,2 ,,183,789,,986,2,"10,272","10,397"
83,Ivory Coast,952,+36,14 ,+1,310,628,,36,0.5,,
84,Tunisia,909,+8,38 ,,190,681,32,77,3,"18,861","1,596"
85,Nigeria,873,+91,28 ,+3,197,648,2,4,0.1,"8,003",39
86,Cyprus,790,+6,13 ,+1,98,679,15,654,11,"37,081","30,712"
87,Latvia,761,+13,11 ,+2,133,617,5,403,6,"39,336","20,855"
88,Guinea,761,+73,6 ,,164,591,,58,0.5,,
89,Andorra,723,+6,37 ,,309,377,17,"9,357",479,"1,673","21,653"
90,Diamond Princess,712,,13 ,,644,55,7,,,,
91,Lebanon,682,+5,22 ,+1,113,547,26,100,3,"22,853","3,348"
92,Costa Rica,681,+12,6 ,,180,495,6,134,1,"11,766","2,310"
93,Niger,662,+5,22 ,+2,193,447,,27,0.9,"4,832",200
94,Albania,634,+25,27 ,+1,356,251,4,220,9,"6,269","2,178"
95,Kyrgyzstan,612,+22,7 ,,254,351,5,94,1,"26,147","4,008"
96,Burkina Faso,609,+9,39 ,+1,389,181,,29,2,,
97,Bolivia,609,+11,37 ,+3,44,528,3,52,3,"4,420",379
98,Uruguay,543,,12 ,,324,207,10,156,3,"13,923","4,008"
99,Honduras,510,+16,46 ,,30,434,10,51,5,"2,535",256
100,Channel Islands,498,+2,28 ,+4,285,185,,"2,864",161,"3,320","19,095"
101,San Marino,488,+12,40 ,,62,386,4,"14,382","1,179","1,872","55,171"
102,Palestine,474,+8,4 ,,71,399,,93,0.8,"17,329","3,397"
103,Malta,444,+1,3 ,,165,276,2,"1,006",7,"26,148","59,220"
104,Senegal,442,+30,6 ,+1,253,183,1,26,0.4,466,28
105,Jordan,435,+7,7 ,,315,113,5,43,0.7,"35,000","3,430"
106,Taiwan,426,+1,6 ,,236,184,,18,0.3,"56,853","2,387"
107,Georgia,416,+8,5 ,+1,107,304,6,104,1,"8,375","2,099"
108,Réunion,410,, ,,238,172,2,458,,,
109,DRC,359,+9,25 ,,45,289,,4,0.3,,
110,Sri Lanka,330,+20,7 ,,105,218,2,15,0.3,"7,393",345
111,Mauritius,329,+1,9 ,,261,59,3,259,7,"9,755","7,670"
112,Mayotte,326,+15,4 ,,125,197,4,"1,195",15,"2,100","7,698"
113,Guatemala,316,+22,8 ,+1,24,284,3,18,0.4,"7,200",402
114,Montenegro,315,+2,5 ,,116,194,7,502,8,"5,085","8,096"
115,Isle of Man,307,,15 ,+6,212,80,20,"3,610",176,"2,654","31,211"
116,Kenya,303,+7,14 ,,74,215,2,6,0.3,"14,704",273
117,Mali,293,+35,17 ,+3,73,203,,14,0.8,"2,023",100
118,Venezuela,288,,10 ,,122,156,4,10,0.4,"347,236","12,211"
119,Somalia,286,,8 ,,4,274,2,18,0.5,,
120,Tanzania,284,+30,10 ,,11,263,7,5,0.2,,
121,Vietnam,268,, ,,223,45,8,3,,"206,253","2,119"
122,El Salvador,237,+12,7 ,,63,167,3,37,1,"14,375","2,216"
123,Jamaica,233,+5,6 ,,27,200,,79,2,"1,936",654
124,Paraguay,213,+5,9 ,+1,62,142,1,30,1,"6,292",882
125,Congo,186,+21,6 ,,16,164,,34,1,,
126,Faeroe Islands,185,, ,,178,7,,"3,786",,"6,270","128,318"
127,Gabon,166,+10,1 ,,24,141,2,75,0.4,572,257
128,Martinique,164,+1,14 ,,73,77,6,437,37,,
129,Rwanda,153,+3, ,,84,69,,12,,"6,959",537
130,Guadeloupe,148,,12 ,,73,63,13,370,30,,
131,Sudan,140,,13 ,,12,115,,3,0.3,,
132,Brunei ,138,,1 ,,117,20,2,315,2,"12,149","27,770"
133,Gibraltar,132,, ,,120,12,1,"3,918",,"1,912","56,751"
134,Myanmar,123,+2,5 ,,7,111,,2,0.09,"5,198",96
135,Cambodia,122,, ,,110,12,1,7,,"5,768",345
136,Madagascar,121,, ,,52,69,1,4,,"2,357",85
137,Ethiopia,116,+2,3 ,,21,92,,1,0.03,"9,771",85
138,Trinidad and Tobago,115,,8 ,,37,70,,82,6,"1,425","1,018"
139,Liberia,101,,8 ,,20,73,,20,2,,
140,Aruba,100,+3,2 ,,68,30,4,937,19,"1,504","14,087"
141,Bermuda,99,+1,5 ,,39,55,10,"1,590",80,949,"15,238"
142,French Guiana,97,,1 ,,83,13,1,325,3,,
143,Monaco,94,,3 ,,26,65,2,"2,395",76,,
144,Togo,88,+2,6 ,,56,26,,11,0.7,"4,733",572
145,Maldives,86,, ,,16,70,2,159,,"4,139","7,657"
146,Equatorial Guinea,84,+1,1 ,+1,7,76,,60,0.7,854,609
147,Liechtenstein,81,,1 ,,55,25,,"2,124",26,900,"23,605"
148,Barbados,75,,5 ,,25,45,4,261,17,"1,098","3,821"
149,Zambia,74,+4,3 ,,35,36,1,4,0.2,"2,586",141
150,Cabo Verde,73,+5,1 ,,1,71,,131,2,,
151,Sint Maarten,71,+3,11 ,+1,22,38,2,"1,656",257,258,"6,017"
152,Guyana,67,+1,7 ,,9,51,5,85,9,348,442
153,Cayman Islands,66,,1 ,,7,58,3,"1,004",15,778,"11,838"
154,Bahamas,65,,9 ,,12,44,1,165,23,,
155,Uganda,63,+2, ,,45,18,,1,,"14,761",323
156,Haiti,62,+5,4 ,+1,2,56,,5,0.4,642,56
157,Sierra Leone,61,+11, ,,6,55,,8,,,
158,Libya,59,,1 ,,15,43,,9,0.1,891,130
159,French Polynesia,57,, ,,35,22,1,203,,"1,655","5,892"
160,Benin,54,,1 ,,27,26,,4,0.08,,
161,Guinea-Bissau,50,, ,,3,47,,25,,"1,500",762
162,Macao,45,, ,,26,19,1,69,,,
163,Nepal,45,+3, ,,7,38,,2,,"8,773",301
164,Syria,42,,3 ,,6,33,,2,0.2,,
165,Mozambique,41,+2, ,,8,33,,1,,"1,247",40
166,Eritrea,39,, ,,6,33,,11,,,
167,Saint Martin,38,,2 ,,19,17,3,983,52,,
168,Mongolia,35,+1, ,,8,27,,11,,"7,130","2,175"
169,Chad,33,, ,,8,25,,2,,,
170,Eswatini,31,,1 ,,8,22,,27,0.9,714,615
171,Zimbabwe,28,,4 ,+1,2,22,,2,0.3,"4,159",280
172,Angola,25,+1,2 ,,6,17,,0.8,0.06,,
173,Antigua and Barbuda,24,+1,3 ,,10,11,1,245,31,108,"1,103"
174,Malawi,23,+5,3 ,+1,3,17,1,1,0.2,519,27
175,Timor-Leste,23,, ,,1,22,,17,,322,244
176,Botswana,22,+2,1 ,,,21,,9,0.4,"4,432","1,885"
177,Laos,19,, ,,4,15,,3,,"1,461",201
178,Belize,18,,2 ,,2,14,1,45,5,785,"1,974"
179,Fiji,18,, ,,8,10,,20,,,
180,New Caledonia,18,, ,,17,1,1,63,,"3,552","12,441"
181,Dominica,16,, ,,9,7,,222,,377,"5,237"
182,Namibia,16,, ,,6,10,,6,,524,206
183,Grenada,15,+1, ,,6,9,4,133,,92,818
184,Saint Kitts and Nevis,15,, ,,1,14,,282,,257,"4,831"
185,Curaçao,14,,1 ,,11,2,,85,6,302,"1,840"
186,CAR,14,, ,,10,4,,3,,,
187,St. Vincent Grenadines,13,+1, ,,3,10,,117,,99,892
188,Burundi,11,+6,1 ,,4,6,,0.9,0.08,284,24
189,Turks and Caicos,11,,1 ,,4,6,,284,26,83,"2,144"
190,Falkland Islands,11,, ,,3,8,,"3,161",,319,"91,667"
191,Montserrat,11,, ,,2,9,1,"2,204",,36,"7,212"
192,Seychelles,11,, ,,5,6,,112,,,
193,Nicaragua,10,,2 ,,7,1,,2,0.3,,
194,Gambia,10,,1 ,,2,7,,4,0.4,316,131
195,Suriname,10,,1 ,,6,3,,17,2,404,689
196,MS Zaandam,9,,2 ,,,7,,,,,
197,Vatican City,9,, ,,2,7,,"11,236",,,
198,Papua New Guinea,8,+1, ,,,8,,0.9,,604,68
199,Bhutan,6,, ,,2,4,,8,,"8,953","11,603"
200,Western Sahara,6,, ,,,6,,10,,,
201,British Virgin Islands,5,,1 ,,3,1,,165,33,,
202,Caribbean Netherlands,5,, ,,,5,,191,,110,"4,195"
203,Sao Tome and Principe,4,, ,,,4,,18,,19,87
204,South Sudan,4,, ,,,4,,0.4,,,
205,Anguilla,3,, ,,1,2,,200,,,
206,Saint Pierre Miquelon,1,, ,,,1,,173,,,
207,Yemen,1,, ,,,1,,0.03,,,
208,China,"82,788",+30,"4,632 ",,"77,151","1,005",78,58,3,,
209,Total:,"2,632,532","+76,772","183,866","+6,407","716,877","1,731,789","56,678",337.7,23.6,,
